Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,nessus_url,description,solution
104743,,6.1,Medium,192.168.1.11,tcp,3389.0,TLS Version 1.0 Protocol Detection,The remote service encrypts traffic using an older version of TLS.,"The remote service accepts connections encrypted using TLS 1.0. TLS 1.0 has a
number of cryptographic design flaws. Modern implementations of TLS 1.0
mitigate these problems, but newer versions of TLS like 1.2 and 1.3 are
designed against these flaws and should be used whenever possible.

As of March 31, 2020, Endpoints that arent enabled for TLS 1.2
and higher will no longer function properly with major web browsers and major vendors.

PCI DSS v3.2 requires that TLS 1.0 be disabled entirely by June 30,
2018, except for POS POI terminals (and the SSL/TLS termination
points to which they connect) that can be verified as not being
susceptible to any known exploits.","Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",https://tools.ietf.org/html/draft-ietf-tls-oldversions-deprecate-00,TLSv1 is enabled and the server supports at least one cipher.,https://zh-tw.tenable.com/plugins/nessus/104743,"遠端服務接受使用 TLS 1.0 加密的連線。TLS 1.0 有幾個加密設計缺陷。現今的 TLS 1.0 實作方式緩解了這些問題，不過，應儘可能使用如 1.2 和 1.3 這種特別針對這些缺陷而設計的較新 TLS 版本。

自 2020 年 3 月 31 日起，未啟用 TLS 1.2 和更新版本的端點將無法再透過主要網頁瀏覽器和主要廠商正常運作。

PCI DSS v3.2 要求必須在 2018 年 6 月 30 日之前完全停用 TLS 1.0，但經確認不受任何已知惡意利用危害的 POS POI 終端機 (及其所連線的 SSL/TLS 終端點) 除外。",啟用 TLS 1.2 與 1.3 支援，並停用 TLS 1.0 支援。
157288,,6.1,Medium,192.168.1.11,tcp,3389.0,TLS Version 1.1 Deprecated Protocol,The remote service encrypts traffic using an older version of TLS.,"The remote service accepts connections encrypted using TLS 1.1. TLS 1.1 lacks support for current and recommended
cipher suites. Ciphers that support encryption before MAC computation, and authenticated encryption modes such as GCM
cannot be used with TLS 1.1

As of March 31, 2020, Endpoints that are not enabled for TLS 1.2 and higher will no longer function properly with major
web browsers and major vendors.","Enable support for TLS 1.2 and/or 1.3, and disable support for TLS 1.1.","https://datatracker.ietf.org/doc/html/rfc8996
http://www.nessus.org/u?c8ae820d",TLSv1.1 is enabled and the server supports at least one cipher.,https://zh-tw.tenable.com/plugins/nessus/157288,"遠端服務接受使用 TLS 1.1 加密的連線。TLS 1.1 缺少對目前和建議的加密套件的支援。支援在 MAC 計算之前加密的加密法以及經驗證的加密模式 (如 GCM) 無法搭配 TLS 1.1 使用

自 2020 年 3 月 31 日起，未啟用 TLS 1.2 和更新版本的端點將無法再透過主要網頁瀏覽器和主要廠商正常運作。",啟用 TLS 1.2 與/或 1.3 支援，並停用 TLS 1.1 支援。
57608,,5.0,Medium,192.168.1.18,tcp,445.0,SMB Signing not required,Signing is not required on the remote SMB server.,"Signing is not required on the remote SMB server. An unauthenticated,
remote attacker can exploit this to conduct man-in-the-middle attacks
against the SMB server.","Enforce message signing in the host's configuration. On Windows, this
is found in the policy setting 'Microsoft network server: Digitally
sign communications (always)'. On Samba, the setting is called 'server
signing'. See the 'see also' links for further details.","http://www.nessus.org/u?df39b8b3
http://technet.microsoft.com/en-us/library/cc731957.aspx
http://www.nessus.org/u?74b80723
https://www.samba.org/samba/docs/current/man-html/smb.conf.5.html
http://www.nessus.org/u?a3cac4ea",,https://zh-tw.tenable.com/plugins/nessus/57608,遠端 SMB 伺服器不需要簽署。未經驗證的遠端攻擊者可惡意利用此弱點，對 SMB 伺服器發動攔截式攻擊。,在主機的組態中強制訊息簽署。在 Windows 中，此項目位於原則設定「Microsoft 網路伺服器：數位簽署通訊 (永遠)」中。在 Samba 中，此設定稱為「伺服器簽署」。如需詳細資訊，請參閱「另請參閱」連結。
42873,CVE-2016-2183,5.0,High,192.168.1.20,tcp,3389.0,SSL Medium Strength Cipher Suites Supported (SWEET32),The remote service supports the use of medium strength SSL ciphers.,"The remote host supports the use of SSL ciphers that offer medium
strength encryption. Nessus regards medium strength as any encryption
that uses key lengths at least 64 bits and less than 112 bits, or 
else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength
encryption if the attacker is on the same physical network.","Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","https://www.openssl.org/blog/blog/2016/08/24/sweet32/
https://sweet32.info","
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",https://zh-tw.tenable.com/plugins/nessus/42873,"遠端主機支援提供中強度加密的 SSL 密碼。Nessus 將任何使用長度為 64 至 112 位元間的金鑰或使用 3DES 加密套件視為中強度加密。

請注意，如果攻擊者位於同一個實體網路，就更加容易規避中強度加密。",重新設定受影響的應用程式，盡可能避免使用中強度加密。
51192,,6.4,Medium,192.168.1.20,tcp,3389.0,SSL Certificate Cannot Be Trusted,The SSL certificate for this service cannot be trusted.,"The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.",Purchase or generate a proper SSL certificate for this service.,"https://www.itu.int/rec/T-REC-X.509/en
https://en.wikipedia.org/wiki/X.509","
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=CSI-KSC.chsi.local
|-Issuer  : CN=CSI-KSC.chsi.local
",https://zh-tw.tenable.com/plugins/nessus/51192,"無法信任伺服器的 X.509 憑證。此情況可能以三種不同的方式發生，可導致信任鏈損毀，如下所述：

- 首先，可能無法從已知公開憑證授權單位承襲伺服器傳送的憑證鏈結頂端。鏈結的頂端是未經過識別的自我簽署憑證，或缺少將憑證鏈結的頂端連結到已知公開憑證授權單位的中介憑證時，會發生此狀況。

- 第二，憑證鏈結可能包含掃描時無效的憑證。在憑證的其中一個「notBefore」日期之前或憑證的其中一個「notAfter」日期之後進行掃描時，會發生此狀況。

- 第三，憑證鏈結可能包含不符合憑證資訊或無法驗證的簽章。取得錯誤簽章由其發行單位重新簽署的憑證，即可修正錯誤的憑證。由於憑證的發行單位使用 Nessus 不支援或未識別的簽署演算法而無法驗證的簽章。

如果遠端主機是生產環境中的公開主機，鏈結中出現的任何中斷都會導致使用者更難驗證 web 伺服器的真實性和身分。這將造成更容易對遠端主機發動攔截式攻擊。",購買或產生適合此伺服器的 SSL 憑證。
57582,,6.4,Medium,192.168.1.20,tcp,3389.0,SSL Self-Signed Certificate,"The SSL certificate chain for this service ends in an unrecognized
self-signed certificate.","The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.",Purchase or generate a proper SSL certificate for this service.,,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=CSI-KSC.chsi.local
",https://zh-tw.tenable.com/plugins/nessus/57582,"此服務的 X.509 憑證鏈結並非由已識別的憑證授權單位簽署。如果遠端主機是生產環境中的公用主機，這會造成 SSL 的使用無效，因為任何人都可以對遠端主機發動攔截式攻擊。

請注意，此外掛程式不會檢查以未自我簽署、而是由未識別的憑證授權單位簽署的憑證結束的憑證鏈結。",購買或產生適合此伺服器的 SSL 憑證。
57608,,5.0,Medium,192.168.1.20,tcp,445.0,SMB Signing not required,Signing is not required on the remote SMB server.,"Signing is not required on the remote SMB server. An unauthenticated,
remote attacker can exploit this to conduct man-in-the-middle attacks
against the SMB server.","Enforce message signing in the host's configuration. On Windows, this
is found in the policy setting 'Microsoft network server: Digitally
sign communications (always)'. On Samba, the setting is called 'server
signing'. See the 'see also' links for further details.","http://www.nessus.org/u?df39b8b3
http://technet.microsoft.com/en-us/library/cc731957.aspx
http://www.nessus.org/u?74b80723
https://www.samba.org/samba/docs/current/man-html/smb.conf.5.html
http://www.nessus.org/u?a3cac4ea",,https://zh-tw.tenable.com/plugins/nessus/57608,遠端 SMB 伺服器不需要簽署。未經驗證的遠端攻擊者可惡意利用此弱點，對 SMB 伺服器發動攔截式攻擊。,在主機的組態中強制訊息簽署。在 Windows 中，此項目位於原則設定「Microsoft 網路伺服器：數位簽署通訊 (永遠)」中。在 Samba 中，此設定稱為「伺服器簽署」。如需詳細資訊，請參閱「另請參閱」連結。
104743,,6.1,Medium,192.168.1.20,tcp,3389.0,TLS Version 1.0 Protocol Detection,The remote service encrypts traffic using an older version of TLS.,"The remote service accepts connections encrypted using TLS 1.0. TLS 1.0 has a
number of cryptographic design flaws. Modern implementations of TLS 1.0
mitigate these problems, but newer versions of TLS like 1.2 and 1.3 are
designed against these flaws and should be used whenever possible.

As of March 31, 2020, Endpoints that arent enabled for TLS 1.2
and higher will no longer function properly with major web browsers and major vendors.

PCI DSS v3.2 requires that TLS 1.0 be disabled entirely by June 30,
2018, except for POS POI terminals (and the SSL/TLS termination
points to which they connect) that can be verified as not being
susceptible to any known exploits.","Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",https://tools.ietf.org/html/draft-ietf-tls-oldversions-deprecate-00,TLSv1 is enabled and the server supports at least one cipher.,https://zh-tw.tenable.com/plugins/nessus/104743,"遠端服務接受使用 TLS 1.0 加密的連線。TLS 1.0 有幾個加密設計缺陷。現今的 TLS 1.0 實作方式緩解了這些問題，不過，應儘可能使用如 1.2 和 1.3 這種特別針對這些缺陷而設計的較新 TLS 版本。

自 2020 年 3 月 31 日起，未啟用 TLS 1.2 和更新版本的端點將無法再透過主要網頁瀏覽器和主要廠商正常運作。

PCI DSS v3.2 要求必須在 2018 年 6 月 30 日之前完全停用 TLS 1.0，但經確認不受任何已知惡意利用危害的 POS POI 終端機 (及其所連線的 SSL/TLS 終端點) 除外。",啟用 TLS 1.2 與 1.3 支援，並停用 TLS 1.0 支援。
157288,,6.1,Medium,192.168.1.20,tcp,3389.0,TLS Version 1.1 Deprecated Protocol,The remote service encrypts traffic using an older version of TLS.,"The remote service accepts connections encrypted using TLS 1.1. TLS 1.1 lacks support for current and recommended
cipher suites. Ciphers that support encryption before MAC computation, and authenticated encryption modes such as GCM
cannot be used with TLS 1.1

As of March 31, 2020, Endpoints that are not enabled for TLS 1.2 and higher will no longer function properly with major
web browsers and major vendors.","Enable support for TLS 1.2 and/or 1.3, and disable support for TLS 1.1.","https://datatracker.ietf.org/doc/html/rfc8996
http://www.nessus.org/u?c8ae820d",TLSv1.1 is enabled and the server supports at least one cipher.,https://zh-tw.tenable.com/plugins/nessus/157288,"遠端服務接受使用 TLS 1.1 加密的連線。TLS 1.1 缺少對目前和建議的加密套件的支援。支援在 MAC 計算之前加密的加密法以及經驗證的加密模式 (如 GCM) 無法搭配 TLS 1.1 使用

自 2020 年 3 月 31 日起，未啟用 TLS 1.2 和更新版本的端點將無法再透過主要網頁瀏覽器和主要廠商正常運作。",啟用 TLS 1.2 與/或 1.3 支援，並停用 TLS 1.1 支援。
10546,CVE-1999-0499,5.0,Medium,192.168.1.43,udp,161.0,Microsoft Windows LAN Manager SNMP LanMan Users Disclosure,The list of LanMan users of the remote host can be obtained via SNMP.,"It is possible to obtain the list of LanMan users on the remote host
	by sending SNMP requests with the OID 1.3.6.1.4.1.77.1.2.25.1.1

	An attacker may use this information to gain more knowledge about the
	target host.","Disable the SNMP service on the remote host if you do not use it, or
	filter incoming UDP packets going to this port.",,"Guest
defaultadmin
DefaultAccount
WDAGUtilityAccount
",https://zh-tw.tenable.com/plugins/nessus/10546,"It is possible to obtain the list of LanMan users on the remote host 	by sending SNMP requests with the OID 1.3.6.1.4.1.77.1.2.25.1.1

An attacker may use this information to gain more knowledge about the 	target host.","Disable the SNMP service on the remote host if you do not use it, or 	filter incoming UDP packets going to this port."
